ID_Cliente;Idade;Sexo;Nacionalidade;Estado_Origem;Viaja_Com;Renda_Presumida;Fidelidade
1;52;F;BR;RO;Sozinho;41.04;Bronze
2;55;F;US;CE;Sozinho;30.91;Ouro
3;47;M;CO;TO;Amigos;21.76;Bronze
4;19;F;BR;AC;Casal;18.78;Bronze
5;54;F;BR;MT;Familia;12.42;Prata
6;59;M;BR;RJ;Casal;11.3;Ouro
7;55;F;AR;PA;Sozinho;29.43;Bronze
8;52;F;BR;RO;Sozinho;28.73;Prata
9;47;M;BR;RS;Sozinho;12.03;Bronze
10;19;F;BR;AP;Sozinho;29.46;Bronze
11;72;M;BR;MA;Sozinho;24.0;Bronze
12;67;F;US;PR;Casal;18.98;Prata
13;77;F;BR;MT;Casal;15.15;Bronze
14;32;M;BR;PR;Amigos;31.59;Ouro
15;59;F;CL;DF;Familia;21.89;Bronze
16;45;M;BR;GO;Casal;23.75;Bronze
17;73;M;PE;SP;Sozinho;33.02;Prata
18;72;F;BR;GO;Amigos;6.58;Bronze
19;34;F;BR;RJ;Familia;15.52;Bronze
20;68;F;BR;SE;Sozinho;71.7;Ouro
21;27;F;PT;GO;Familia;24.04;Ouro
22;29;M;BR;RN;Familia;29.16;Bronze
23;31;F;BR;RN;Casal;12.76;Bronze
24;28;M;BR;CE;Casal;33.03;Bronze
25;35;M;BR;RN;Familia;33.5;Prata
26;36;M;BR;AP;Familia;13.98;Bronze
27;56;M;BR;RS;Familia;16.75;Bronze
28;25;F;US;SP;Casal;28.8;Prata
29;61;M;CL;PR;Casal;24.97;Bronze
30;57;M;BR;AP;Familia;92.1;Ouro
31;41;F;BR;MA;Sozinho;12.4;Bronze
32;47;F;BR;CE;Sozinho;7.65;Bronze
33;74;M;CO;RJ;Casal;22.38;Bronze
34;73;M;BR;CE;Familia;8.73;Bronze
35;49;M;BR;DF;Amigos;3.23;Bronze
36;79;M;BR;AP;Sozinho;19.0;Prata
37;51;F;BR;RJ;Casal;43.99;Prata
38;45;F;BR;MS;Casal;31.75;Bronze
39;41;M;PE;BA;Familia;7.39;Prata
40;54;M;BR;ES;Sozinho;17.06;Bronze
41;18;M;BR;PR;Casal;22.2;Bronze
42;65;F;BR;PA;Familia;8.63;Bronze
43;21;F;US;RR;Sozinho;40.67;Bronze
44;78;F;BR;AP;Sozinho;52.91;Bronze
45;78;M;BR;MT;Casal;10.67;Bronze
46;23;M;BR;AM;Casal;27.68;Prata
47;33;M;US;ES;Familia;56.63;Bronze
48;73;F;AR;SC;Casal;28.3;Bronze
49;29;F;BR;PE;Casal;10.3;Bronze
50;32;M;PE;AM;Amigos;25.39;Bronze
51;69;M;CO;AM;Casal;25.76;Prata
52;35;M;BR;AP;Familia;14.82;Bronze
53;61;M;BR;PE;Familia;17.74;Ouro
54;23;F;BR;ES;Sozinho;28.13;Prata
55;52;F;BR;GO;Casal;19.22;Ouro
56;71;F;AR;PA;Familia;28.06;Bronze
