ID_Clima;Date;Estado;Temperatura_Media;Condicao_Climatica;Feriado_Proximo
AC_20230101;2023-01-01;AC;27.5;Parcialmente Nublado;True
AL_20230101;2023-01-01;AL;27.4;Nublado;True
AP_20230101;2023-01-01;AP;22.3;Tempestade;True
AM_20230101;2023-01-01;AM;32.9;Nublado;True
BA_20230101;2023-01-01;BA;30.2;Parcialmente Nublado;True
CE_20230101;2023-01-01;CE;29.6;Nublado;True
DF_20230101;2023-01-01;DF;27.2;Nublado;True
ES_20230101;2023-01-01;ES;27.6;Tempestade;True
GO_20230101;2023-01-01;GO;25.8;Chuva;True
MA_20230101;2023-01-01;MA;29.4;Sol;True
MT_20230101;2023-01-01;MT;24.0;Chuva;True
MS_20230101;2023-01-01;MS;31.6;Chuva;True
MG_20230101;2023-01-01;MG;27.2;Sol;True
PA_20230101;2023-01-01;PA;30.9;Parcialmente Nublado;True
PB_20230101;2023-01-01;PB;27.7;Nublado;True
PR_20230101;2023-01-01;PR;30.8;Chuva;True
PE_20230101;2023-01-01;PE;35.4;Tempestade;True
PI_20230101;2023-01-01;PI;25.4;Parcialmente Nublado;True
RJ_20230101;2023-01-01;RJ;27.4;Chuva;True
RN_20230101;2023-01-01;RN;29.7;Nublado;True
AC_20230102;2023-01-02;AC;26.4;Sol;False
AL_20230102;2023-01-02;AL;28.2;Sol;False
AP_20230102;2023-01-02;AP;26.3;Parcialmente Nublado;False
AM_20230102;2023-01-02;AM;28.4;Tempestade;False
BA_20230102;2023-01-02;BA;28.8;Sol;False
CE_20230102;2023-01-02;CE;34.8;Parcialmente Nublado;False
DF_20230102;2023-01-02;DF;24.1;Sol;False
ES_20230102;2023-01-02;ES;28.4;Nublado;False
GO_20230102;2023-01-02;GO;25.6;Tempestade;False
MA_20230102;2023-01-02;MA;30.5;Tempestade;False
MT_20230102;2023-01-02;MT;26.6;Chuva;False
MS_20230102;2023-01-02;MS;29.7;Parcialmente Nublado;False
MG_20230102;2023-01-02;MG;22.3;Chuva;False
PA_20230102;2023-01-02;PA;28.9;Sol;False
PB_20230102;2023-01-02;PB;21.5;Chuva;False
PR_20230102;2023-01-02;PR;25.4;Chuva;False
PE_20230102;2023-01-02;PE;32.4;Sol;False
PI_20230102;2023-01-02;PI;22.8;Parcialmente Nublado;False
RJ_20230102;2023-01-02;RJ;24.4;Sol;False
RN_20230102;2023-01-02;RN;24.8;Parcialmente Nublado;False
AC_20230103;2023-01-03;AC;28.1;Nublado;False
AL_20230103;2023-01-03;AL;17.1;Parcialmente Nublado;False
AP_20230103;2023-01-03;AP;31.4;Chuva;False
AM_20230103;2023-01-03;AM;31.9;Parcialmente Nublado;False
BA_20230103;2023-01-03;BA;29.8;Sol;False
CE_20230103;2023-01-03;CE;30.5;Parcialmente Nublado;False
DF_20230103;2023-01-03;DF;27.9;Chuva;False
ES_20230103;2023-01-03;ES;24.5;Parcialmente Nublado;False
GO_20230103;2023-01-03;GO;25.1;Nublado;False
MA_20230103;2023-01-03;MA;30.3;Sol;False
MT_20230103;2023-01-03;MT;21.5;Chuva;False
MS_20230103;2023-01-03;MS;30.0;Chuva;False
MG_20230103;2023-01-03;MG;29.3;Parcialmente Nublado;False
PA_20230103;2023-01-03;PA;37.1;Sol;False
PB_20230103;2023-01-03;PB;32.8;Tempestade;False
PR_20230103;2023-01-03;PR;20.5;Parcialmente Nublado;False
PE_20230103;2023-01-03;PE;32.1;Nublado;False
PI_20230103;2023-01-03;PI;33.7;Chuva;False
RJ_20230103;2023-01-03;RJ;23.9;Nublado;False
RN_20230103;2023-01-03;RN;18.4;Chuva;False
AC_20230104;2023-01-04;AC;29.8;Chuva;False
AL_20230104;2023-01-04;AL;25.5;Parcialmente Nublado;False
AP_20230104;2023-01-04;AP;30.6;Nublado;False
AM_20230104;2023-01-04;AM;30.1;Sol;False
BA_20230104;2023-01-04;BA;29.7;Sol;False
CE_20230104;2023-01-04;CE;33.0;Sol;False
DF_20230104;2023-01-04;DF;26.9;Sol;False
ES_20230104;2023-01-04;ES;28.4;Chuva;False
GO_20230104;2023-01-04;GO;28.0;Tempestade;False
MA_20230104;2023-01-04;MA;35.5;Sol;False
MT_20230104;2023-01-04;MT;26.6;Sol;False
MS_20230104;2023-01-04;MS;25.4;Sol;False
MG_20230104;2023-01-04;MG;32.3;Sol;False
PA_20230104;2023-01-04;PA;28.0;Chuva;False
PB_20230104;2023-01-04;PB;29.4;Tempestade;False
PR_20230104;2023-01-04;PR;26.4;Chuva;False
PE_20230104;2023-01-04;PE;34.0;Parcialmente Nublado;False
PI_20230104;2023-01-04;PI;29.5;Nublado;False
RJ_20230104;2023-01-04;RJ;27.4;Chuva;False
RN_20230104;2023-01-04;RN;24.0;Chuva;False
AC_20230105;2023-01-05;AC;27.5;Sol;False
AL_20230105;2023-01-05;AL;27.9;Parcialmente Nublado;False
AP_20230105;2023-01-05;AP;25.0;Nublado;False
AM_20230105;2023-01-05;AM;25.5;Nublado;False
BA_20230105;2023-01-05;BA;27.5;Parcialmente Nublado;False
CE_20230105;2023-01-05;CE;28.4;Nublado;False
DF_20230105;2023-01-05;DF;30.0;Nublado;False
ES_20230105;2023-01-05;ES;21.9;Nublado;False
GO_20230105;2023-01-05;GO;29.4;Parcialmente Nublado;False
